Time,Norther,Thornton,Rentel,Northwind,Seastar,Nobelwind,Northwester,Mermaid
01/01/1982 00:00:00,20.44011,21.5951,21.46467,22.11518,22.40196,24.15006,25.30781,26.57646
01/01/1982 01:00:00,19.39446,20.88627,22.48338,24.08028,24.56123,26.40402,27.6891,29.7075
01/01/1982 02:00:00,23.55092,25.11508,27.16316,29.1078,29.61292,31.0417,32.44104,34.24276
01/01/1982 03:00:00,34.12695,36.16883,36.54561,36.99509,37.592,37.08912,37.65047,37.14851
01/01/1982 04:00:00,42.73618,46.9227,46.50169,47.06413,48.85132,47.50515,46.72723,43.58495
01/01/1982 05:00:00,60.84304,67.03773,64.8503,64.94109,67.70861,64.55093,62.98047,56.40889
01/01/1982 06:00:00,84.5799,91.11637,90.99137,92.97155,97.57403,94.37467,93.72357,86.38754
01/01/1982 07:00:00,104.6939,113.0428,119.2067,125.9502,132.4514,135.866,137.6575,135.2944
01/01/1982 08:00:00,111.5869,119.689,124.6978,131.1394,136.866,143.4289,147.1618,148.6783
01/01/1982 09:00:00,106.8932,113.7314,115.5816,119.9884,124.6814,129.1183,134.5077,135.2188
01/01/1982 10:00:00,118.0797,124.1622,125.4149,128.1191,131.5289,133.3696,136.3317,135.5335
01/01/1982 11:00:00,111.1442,119.5314,122.1359,125.7581,128.3873,130.9502,131.871,130.955
01/01/1982 12:00:00,94.3504,105.1227,107.0056,112.6558,116.1267,118.9499,118.9985,116.4219
01/01/1982 13:00:00,93.31497,105.3479,105.6955,111.4256,116.2697,119.475,119.7332,115.3594
01/01/1982 14:00:00,113.7165,123.4891,124.5331,126.1335,125.9649,123.1359,119.4496,113.637
01/01/1982 15:00:00,124.7175,126.2082,126.6126,123.6992,120.974,113.3966,107.6483,101.1386
01/01/1982 16:00:00,107.4211,101.5107,98.79444,94.42731,89.89265,81.48072,73.31542,66.92107
01/01/1982 17:00:00,75.26186,67.24439,60.49628,54.2748,48.16997,39.98785,31.84081,26.65875
01/01/1982 18:00:00,43.74108,36.08966,29.80126,24.57279,21.81204,17.66061,14.82537,12.11935
01/01/1982 19:00:00,40.26535,40.53844,33.32951,32.3199,35.45345,39.0458,47.12946,45.90568
01/01/1982 20:00:00,104.2566,120.8201,109.7967,114.7025,125.8864,139.8212,157.2157,154.7389
01/01/1982 21:00:00,198.2316,197.6833,189.0292,182.0663,176.6808,167.009,158.9467,151.0226
01/01/1982 22:00:00,148.2046,129.2556,119.7557,107.757,100.9843,89.74543,83.85517,79.19129
01/01/1982 23:00:00,77.50486,69.00552,64.38766,58.73266,56.40751,52.21184,49.94888,47.71833
02/01/1982 00:00:00,48.92072,47.62411,46.35532,45.18666,44.71687,43.1855,41.8939,40.37081
02/01/1982 01:00:00,35.83994,35.33601,35.02657,34.79459,34.60145,33.91294,33.47396,32.85084
02/01/1982 02:00:00,33.83401,33.26086,32.66957,32.41514,32.66293,32.50979,32.69346,32.27814
02/01/1982 03:00:00,42.53652,41.75026,40.85951,40.0927,40.06515,39.28217,39.03621,38.24006
02/01/1982 04:00:00,53.30449,53.37323,52.89278,52.03292,51.61464,50.84151,50.64358,50.46766
02/01/1982 05:00:00,63.7535,65.33656,66.48009,66.53233,66.58488,66.57973,66.14208,66.29799
02/01/1982 06:00:00,72.17403,73.01843,74.89813,75.59184,75.54813,75.4177,73.61756,73.20905
02/01/1982 07:00:00,89.80456,89.6936,89.24309,88.8399,88.78794,88.80324,88.58662,88.60274
02/01/1982 08:00:00,133.2435,137.9291,135.5936,135.0006,136.3984,136.0949,137.9546,136.7625
02/01/1982 09:00:00,166.3384,175.9093,176.5064,179.2926,182.2696,182.9756,183.7865,181.1976
02/01/1982 10:00:00,183.555,194.4532,195.0245,199.5803,203.9713,207.006,208.8016,206.8993
02/01/1982 11:00:00,222.0092,229.8095,229.2488,231.5078,234.1321,236.4247,237.5,237.0005
02/01/1982 12:00:00,237.5,237.5,237.5,237.5,237.5,237.5,237.5,237.5
02/01/1982 13:00:00,237.5,237.5,237.5,237.5,237.5,237.5,237.5,237.5
02/01/1982 14:00:00,237.5,237.5,237.5,237.5,237.5,237.5,237.5,237.5
02/01/1982 15:00:00,237.5,237.5,237.5,237.5,237.5,237.5,237.5,237.5
02/01/1982 16:00:00,237.5,237.5,237.5,237.5,237.5,237.5,237.5,237.5
02/01/1982 17:00:00,237.5,237.5,237.5,237.5,237.5,237.5,237.5,237.5
02/01/1982 18:00:00,237.5,237.5,237.5,237.5,237.5,237.5,237.5,237.5
02/01/1982 19:00:00,237.5,237.5,237.5,237.5,237.5,237.5,237.5,237.5
02/01/1982 20:00:00,201.8829,202.4135,212.111,221.9831,228.5221,237.5,237.5,237.5
02/01/1982 21:00:00,201.8829,202.4135,211.1488,216.7142,221.5447,234.7133,237.5,237.5
02/01/1982 22:00:00,201.8829,202.4135,211.1488,216.7142,221.5447,234.7133,237.5,237.5
02/01/1982 23:00:00,201.8829,202.4135,211.1488,216.7142,221.5447,234.7133,237.5,237.5
03/01/1982 00:00:00,201.8829,202.4135,211.1488,216.7142,221.5447,234.7133,237.5,237.5
03/01/1982 01:00:00,201.8829,202.4135,211.1488,216.7142,221.5447,234.7133,237.5,237.5
03/01/1982 02:00:00,224.0467,202.4135,211.1488,216.7142,221.5447,234.7133,237.5,237.5
03/01/1982 03:00:00,237.5,237.5,237.5,236.3376,221.8667,234.7133,237.5,237.5
03/01/1982 04:00:00,237.5,237.5,237.5,237.5,237.5,237.5,237.5,237.5
